ValueDate,TheValue
2017-03-29,14.1011
2017-03-28,13.9346
2017-03-27,13.4291
2017-03-24,13.4757
2017-03-23,13.5418
2017-03-22,13.6718
2017-03-20,13.6274
2017-03-17,13.7488
2017-03-16,13.6632
2017-03-15,13.9277
2017-03-14,14.0803
2017-03-13,14.0117
2017-03-10,14.1203
2017-03-09,13.9425
2017-03-08,13.7167
2017-03-07,13.7281
2017-03-06,13.8269
2017-03-03,13.8053
2017-03-02,13.7536
2017-03-01,13.7886
2017-02-28,13.7820
2017-02-27,13.7140
2017-02-24,13.6850
2017-02-23,13.6562
2017-02-22,13.7348
2017-02-21,13.8591
2017-02-20,13.9814
2017-02-17,13.8535
2017-02-16,13.7343
2017-02-15,13.7530
2017-02-14,14.0630
2017-02-13,14.1644
2017-02-10,14.2400
2017-02-09,14.3685
2017-02-08,14.3717
2017-02-07,14.3247
2017-02-06,14.2849
2017-02-03,14.4463
2017-02-02,14.4115
2017-02-01,14.5570
2017-01-31,14.4955
2017-01-30,14.5868
2017-01-27,14.3799
2017-01-26,14.2069
2017-01-25,14.3192
2017-01-24,14.4718
2017-01-23,14.5261
2017-01-20,14.4197
2017-01-19,14.4551
2017-01-18,14.4655
2017-01-17,14.3879
2017-01-16,14.4190
2017-01-13,14.3921
2017-01-12,14.4942
2017-01-11,14.4726
2017-01-10,14.4572
2017-01-09,14.4970
2017-01-06,14.4935
2017-01-05,14.2931
2017-01-04,14.3069
2017-01-03,14.3170
2016-12-30,14.3342
2016-12-29,14.3597
2016-12-28,14.5496
2016-12-23,14.6429
2016-12-22,14.5937
2016-12-21,14.5343
2016-12-20,14.6634
2016-12-19,14.6316
2016-12-15,14.7354
2016-12-14,14.4790
2016-12-13,14.4360
2016-12-12,14.6381
2016-12-09,14.5806
2016-12-08,14.5742
2016-12-07,14.6411
2016-12-06,14.7562
2016-12-05,14.7057
2016-12-02,15.0046
2016-12-01,14.8295
2016-11-30,14.8859
2016-11-29,14.6968
2016-11-28,14.7794
2016-11-25,14.9070
2016-11-24,14.9791
2016-11-23,14.9714
2016-11-22,15.0364
2016-11-21,15.2795
2016-11-18,15.4096
2016-11-17,15.3199
2016-11-16,15.2418
2016-11-15,15.3070
2016-11-14,15.5467
2016-11-11,15.5100
2016-11-10,14.6121
2016-11-09,15.0250
2016-11-08,14.8376
2016-11-07,14.9700
2016-11-04,14.9932
2016-11-03,14.9680
2016-11-02,14.9587
2016-11-01,14.8347
2016-10-31,15.0565
2016-10-28,15.2111
2016-10-27,15.1637
2016-10-26,14.9764
2016-10-25,15.0865
2016-10-24,15.1166
2016-10-21,15.2857
2016-10-20,15.2727
2016-10-19,15.2858
2016-10-18,15.4651
2016-10-17,15.7650
2016-10-14,15.6872
2016-10-13,15.7822
2016-10-12,15.8933
2016-10-11,15.7175
2016-10-10,15.4101
2016-10-07,15.4735
2016-10-06,15.4020
2016-10-05,15.4190
2016-10-04,15.2203
2016-10-03,15.3218
2016-09-30,15.6280
2016-09-29,15.3321
2016-09-28,15.0781
2016-09-27,15.2531
2016-09-26,15.3930
2016-09-23,15.2329
2016-09-22,15.0947
2016-09-21,15.3655
2016-09-20,15.5691
2016-09-19,15.7511
2016-09-16,15.8738
2016-09-15,16.1220
2016-09-14,16.0827
2016-09-13,16.0355
2016-09-12,16.3549
2016-09-09,16.0762
2016-09-08,15.7511
2016-09-07,15.7584
2016-09-06,15.9360
2016-09-05,16.0875
2016-09-02,16.4072
2016-09-01,16.3181
2016-08-31,16.0872
2016-08-30,16.0770
2016-08-29,16.1381
2016-08-26,16.0089
2016-08-25,15.9626
2016-08-24,15.8556
2016-08-23,15.2530
2016-08-22,15.3790
2016-08-19,15.2791
2016-08-18,15.0357
2016-08-17,15.1094
2016-08-16,14.9600
2016-08-15,14.9834
2016-08-12,14.9354
2016-08-11,14.8723
2016-08-10,14.9173
2016-08-08,15.1336
2016-08-05,15.2559
2016-08-04,15.4347
2016-08-02,15.6617
2016-08-01,15.4120
2016-07-29,15.6988
2016-07-28,15.7860
2016-07-27,15.7186
2016-07-26,15.8270
2016-07-25,15.7145
2016-07-22,15.6876
2016-07-21,15.7413
2016-07-20,15.7188
2016-07-19,15.8427
2016-07-18,15.8366
2016-07-15,15.9558
2016-07-14,15.9358
2016-07-13,15.9127
2016-07-12,15.9152
2016-07-11,16.1146
2016-07-08,16.3079
2016-07-07,16.1908
2016-07-06,16.4645
2016-07-05,16.4642
2016-07-04,16.1343
2016-07-01,16.3121
2016-06-30,16.4116
2016-06-29,16.6277
2016-06-28,16.8113
2016-06-27,16.7125
2016-06-24,16.6347
2016-06-23,16.4374
2016-06-22,16.5925
2016-06-21,16.6499
2016-06-20,16.9419
2016-06-17,17.1097
2016-06-15,17.1433
2016-06-14,17.2619
2016-06-13,17.0575
2016-06-10,16.8564
2016-06-09,16.8723
2016-06-08,16.9740
2016-06-07,16.8882
2016-06-06,17.1217
2016-06-03,17.3961
2016-06-02,17.4982
2016-06-01,17.4596
2016-05-31,17.6084
2016-05-30,17.5791
2016-05-27,17.3739
2016-05-26,17.4208
2016-05-25,17.4352
2016-05-24,17.6663
2016-05-23,17.4449
2016-05-20,17.6886
2016-05-19,17.7682
2016-05-18,17.8447
2016-05-17,17.6489
2016-05-16,17.4953
2016-05-13,17.1542
2016-05-12,17.0570
2016-05-11,17.3748
2016-05-10,17.3567
2016-05-09,17.0324
2016-05-06,17.1437
2016-05-05,17.0504
2016-05-04,16.9831
2016-05-03,16.5625
2016-04-29,16.1810
2016-04-28,16.3683
2016-04-26,16.3553
2016-04-25,16.3029
2016-04-22,16.1607
2016-04-21,16.1169
2016-04-20,16.1810
2016-04-19,16.3140
2016-04-18,16.5814
2016-04-15,16.3290
2016-04-14,16.4716
2016-04-13,16.7441
2016-04-12,16.8268
2016-04-11,16.8874
2016-04-08,17.1694
2016-04-07,17.1821
2016-04-06,17.2206
2016-04-05,16.9390
2016-04-04,16.7852
2016-04-01,16.8055
2016-03-31,16.8911
2016-03-30,17.0840
2016-03-29,17.3192
2016-03-24,17.1838
2016-03-23,17.0812
2016-03-22,17.1173
2016-03-18,17.2761
2016-03-17,17.6068
2016-03-16,17.7723
2016-03-15,17.3773
2016-03-14,17.0255
2016-03-11,16.9358
2016-03-10,16.6510
2016-03-09,16.9389
2016-03-08,16.9858
2016-03-07,16.8058
2016-03-04,17.1154
2016-03-03,16.9960
