Date,company_symbol,current_price,momentum,moving_average,moving_volatility,trading_range,target_return,exp_market_change,reporate,tbillrate,platinum,oil,gold,Revenue,Cost of sales,Gross profit,Operating profit,Net profit,Headline earnings,Shares in issue,Non-current assets,Current assets,Non-current liabilities,Current liabilities,Cash from operations,Cash from investing,Cash from financing,Change in cash,Full year,Half year,roe,cr,doe,npm
2006-09-12,SNH,2389.0,0.18267326732673267,2156.8,119.29436601412834,58.23333333333333,-0.015487651737128516,-0.5585839983386475,8.0,7.7410000000000005,1189.8,64.22350000000002,600.6825,32238.322,-28854.236,3384.086,2658.1890000000003,2017.517,1953.376,1133345000.0,17203.456000000002,14394.023000000001,10045.728000000001,8841.976,2289.38,-5977.659000000001,3375.328,-312.95099999999996,1,0,0.15873742847532704,1.6279192569624708,1.4860769761856523,0.06258132789913817
2007-03-08,SNH,2496.0,0.04566401340594889,2467.733333333333,85.76117146515986,73.46666666666667,-0.13501602564102566,1.1849426350542869,9.0,8.283333333333333,1222.047619047619,60.79428571428571,655.6714285714286,19169.156000000003,-17180.991,1988.165,1613.67,1210.335,1176.072,1141224000.0,18964.74,14120.748,9881.252,9734.604,232.91400000000002,-2099.607,2297.004,430.311,0,1,0.08985657514622525,1.4505724115742151,1.4563022954153464,0.0631397125674182
2007-09-11,SNH,2129.0,-0.05503772747447847,2279.2,94.97293102310977,72.21666666666667,-0.12306247064349465,0.4959928828643943,10.0,9.308421052631576,1310.0,79.0921052631579,709.4552631578947,34228.573,-30295.882,3932.691,2977.652,2974.44,2969.6209999999996,1188015000.0,22169.328999999998,15365.13,8671.036,11505.88,2587.077,-1943.674,-649.852,-6.448999999999731,1,0,0.17136296306453053,1.3354154571401753,1.1624292677828885,0.08689932823083218
2008-03-06,SNH,1877.0,-0.017791732077446363,1749.7333333333331,155.4405294383914,83.11666666666666,0.009057005860415579,1.0586291055247188,11.0,10.186315789473682,2052.7894736842104,105.72105263157896,971.0552631578947,20570.051,-18238.784,2331.2670000000003,1841.7,1466.1770000000001,1455.0870000000002,1263494000.0,24145.423,16850.984,10467.405999999999,11622.848,447.09,-1998.817,1467.736,-83.991,0,1,0.07755025572891536,1.4498153980848756,1.168416123576277,0.07127726615748305
2008-09-10,SNH,1674.0,-0.058492688413948266,1607.0666666666666,115.15838270547458,95.15,-0.399641577060932,0.6471631580231336,12.0,11.149500000000005,1217.95,103.66550000000002,821.3875,45045.885,-39553.719,5492.166,4468.723,3435.6079999999997,3310.0370000000003,1280541000.0,37641.754,19273.99,17302.022,14829.569,4230.979,-5943.036,1398.8429999999998,-313.214,1,0,0.13862115844749662,1.2996999440779433,1.2964570949832335,0.07626907541055081
2009-03-03,SNH,978.0,0.028391167192429026,1187.2,65.87553749814761,67.28333333333333,0.3220858895705521,0.048792233272618266,10.272727272727273,8.620454545454548,1086.7727272727273,48.13409090909091,925.9886363636364,25939.636000000002,-22927.122000000003,3012.514,2508.717,1734.418,1597.851,1271661000.0,38887.812999999995,21079.224,17446.511000000002,17144.555,1377.761,-1417.525,-253.167,-292.931,0,1,0.06834883283875129,1.2294996283076463,1.3631425571853002,0.06686362137078561
2009-09-09,SNH,1596.0,0.1548480463096961,1504.9833333333331,152.51668335156168,61.48333333333333,0.162907268170426,-0.4882779157046176,7.0,6.9368421052631595,1293.0,69.52631578947367,996.1315789473683,50868.640999999996,-44741.157999999996,6127.483,5202.064,3627.4840000000004,3378.8779999999997,1275841000.0,36626.523,18660.902,16687.744,13675.928,2584.167,-3986.6090000000004,1701.217,298.775,1,0,0.1455432494456192,1.3645071837172584,1.218262434232918,0.07131081013153075
2010-03-03,SNH,1966.0,0.05415549597855228,1985.3,66.7249095864731,54.48333333333333,-0.040183112919633716,0.10441814885638204,6.909090909090909,6.957272727272729,1604.3181818181818,81.2918181818182,1116.0681818181818,24846.0,-22335.0,2511.0,1961.0,1734.0,1579.0,1350000000.0,39362.0,19366.0,16767.0,14369.0,1368.0,-811.0,-207.0,350.0,0,1,0.06284430269643375,1.3477625443663441,1.1284430269643375,0.06978990581985028
2010-09-08,SNH,1872.0,-0.023983315954118872,1843.9,46.43008229986425,43.38333333333333,0.1479700854700854,-0.357670255204194,6.15,6.079500000000002,1595.25,75.426,1271.2325,48040.0,-41913.0,6127.0,5144.0,3753.0,3541.0,1376000000.0,37792.0,19389.0,18103.0,12017.0,4472.0,-3271.0,-281.0,920.0,1,0,0.1386866708547356,1.6134642589664643,1.113040907579173,0.07812239800166527
2011-03-02,SNH,2402.0,0.107422775472568,2416.366666666667,75.78671380068253,68.53333333333333,-0.013738551207327254,-0.12149720401938575,5.5,5.499090909090909,1773.6818181818182,103.01090909090908,1422.625,23994.0,-21026.0,2968.0,2488.0,1804.0,1668.0,1439000000.0,37532.0,20439.0,19120.0,11134.0,1361.0,-1928.0,964.0,397.0,0,1,0.06508640906302991,1.8357283994970361,1.091532272612476,0.07518546303242478
