ValueDate,TheValue
2017-05-19,0.5187
2017-05-18,0.5146
2017-05-17,0.5242
2017-05-16,0.5255
2017-05-15,0.5192
2017-05-12,0.5147
2017-05-11,0.5153
2017-05-10,0.5090
2017-05-09,0.5053
2017-05-08,0.5112
2017-05-05,0.5056
2017-05-04,0.5103
2017-05-03,0.5160
2017-05-02,0.5192
2017-04-28,0.5184
2017-04-26,0.5249
2017-04-25,0.5273
2017-04-24,0.5333
2017-04-21,0.5230
2017-04-20,0.5216
2017-04-19,0.5150
2017-04-18,0.5153
2017-04-13,0.5101
2017-04-12,0.5007
2017-04-11,0.4973
2017-04-10,0.4966
2017-04-07,0.5021
2017-04-06,0.5020
2017-04-05,0.5065
2017-04-04,0.4985
2017-04-03,0.5073
2017-03-31,0.5120
2017-03-30,0.5319
2017-03-29,0.5273
2017-03-28,0.5361
2017-03-27,0.5564
2017-03-24,0.5514
2017-03-23,0.5486
2017-03-22,0.5438
2017-03-20,0.5456
2017-03-17,0.5411
2017-03-16,0.5411
2017-03-15,0.5275
2017-03-14,0.5225
2017-03-13,0.5265
2017-03-10,0.5198
2017-03-09,0.5228
2017-03-08,0.5318
2017-03-07,0.5322
2017-03-06,0.5301
2017-03-03,0.5257
2017-03-02,0.5270
2017-03-01,0.5255
2017-02-28,0.5278
2017-02-27,0.5297
2017-02-24,0.5322
2017-02-23,0.5319
2017-02-22,0.5260
2017-02-21,0.5247
2017-02-20,0.5227
2017-02-17,0.5280
2017-02-16,0.5306
2017-02-15,0.5277
2017-02-14,0.5191
2017-02-13,0.5173
2017-02-10,0.5142
2017-02-09,0.5109
2017-02-08,0.5098
2017-02-07,0.5126
2017-02-06,0.5163
2017-02-03,0.5116
2017-02-02,0.5155
2017-02-01,0.5101
2017-01-31,0.5089
2017-01-30,0.5047
2017-01-27,0.5109
2017-01-26,0.5200
2017-01-25,0.5155
2017-01-24,0.5093
2017-01-23,0.5067
2017-01-20,0.5087
2017-01-19,0.5066
2017-01-18,0.5053
2017-01-17,0.5092
2017-01-16,0.5071
2017-01-13,0.5097
2017-01-12,0.5068
2017-01-11,0.5052
2017-01-10,0.5079
2017-01-09,0.5048
2017-01-06,0.5058
2017-01-05,0.5070
2017-01-04,0.5066
2017-01-03,0.5068
2016-12-30,0.5099
2016-12-29,0.5062
2016-12-28,0.4990
2016-12-23,0.4956
2016-12-22,0.4972
2016-12-21,0.4977
2016-12-20,0.4923
2016-12-19,0.4968
2016-12-15,0.4938
2016-12-14,0.5070
2016-12-13,0.5078
2016-12-12,0.4994
2016-12-09,0.5024
2016-12-08,0.5086
2016-12-07,0.5043
2016-12-06,0.5022
2016-12-05,0.4987
2016-12-02,0.4892
2016-12-01,0.4931
2016-11-30,0.4922
2016-11-29,0.4976
