ValueDate,TheValue
2016-02-17,15.8273
2016-02-16,15.7557
2016-02-15,15.8054
2016-02-12,15.7866
2016-02-11,15.9739
2016-02-10,15.9104
2016-02-09,16.1688
2016-02-08,15.9308
2016-02-05,15.9154
2016-02-04,15.9734
2016-02-03,16.1954
2016-02-02,15.9763
2016-02-01,15.9580
2016-01-29,16.0981
2016-01-28,16.3249
2016-01-27,16.4279
2016-01-26,16.6011
2016-01-25,16.5150
2016-01-22,16.5145
2016-01-21,16.7924
2016-01-20,16.8927
2016-01-19,16.6237
2016-01-18,16.6949
2016-01-15,16.5924
2016-01-14,16.6217
2016-01-13,16.4968
2016-01-12,16.8822
2016-01-11,16.6024
2016-01-08,16.0307
2016-01-07,16.0472
2016-01-06,15.7759
2016-01-05,15.6087
2016-01-04,15.6393
2015-12-31,15.5742
2015-12-30,15.3689
2015-12-29,15.2775
2015-12-28,15.2840
2015-12-24,15.1861
2015-12-23,15.1817
2015-12-22,15.0904
2015-12-21,15.0367
2015-12-18,15.1983
2015-12-17,14.9449
2015-12-15,15.0388
2015-12-14,15.0795
2015-12-11,15.4150
2015-12-10,14.9762
2015-12-09,14.5743
2015-12-08,14.5360
2015-12-07,14.4050
2015-12-04,14.3721
2015-12-03,14.3328
2015-12-02,14.3735
2015-12-01,14.4132
2015-11-30,14.3856
2015-11-27,14.3510
2015-11-26,14.1930
2015-11-25,14.0654
2015-11-24,14.1150
2015-11-23,14.0462
2015-11-20,13.9858
2015-11-19,14.1216
2015-11-18,14.2497
2015-11-17,14.3616
2015-11-16,14.3860
2015-11-13,14.3095
2015-11-12,14.1738
2015-11-11,14.1929
2015-11-10,14.2610
2015-11-09,14.1950
2015-11-06,13.8956
2015-11-05,13.9346
2015-11-04,13.8244
2015-11-03,13.7823
2015-11-02,13.8104
2015-10-30,13.8167
2015-10-29,13.7982
2015-10-28,13.7029
2015-10-27,13.7129
2015-10-26,13.6845
2015-10-23,13.3861
2015-10-22,13.5546
2015-10-21,13.4018
2015-10-20,13.2276
2015-10-19,13.0422
2015-10-16,13.1550
2015-10-15,13.1644
2015-10-14,13.4354
2015-10-13,13.4549
2015-10-12,13.2917
2015-10-09,13.3634
2015-10-08,13.4864
2015-10-07,13.4249
2015-10-06,13.6689
2015-10-05,13.6439
2015-10-02,13.9086
2015-10-01,13.7701
2015-09-30,13.8143
2015-09-29,14.0139
2015-09-28,13.8704
2015-09-25,13.7437
2015-09-23,13.6940
2015-09-22,13.5308
2015-09-21,13.3584
2015-09-18,13.1917
2015-09-17,13.3403
2015-09-16,13.4675
2015-09-15,13.4180
2015-09-14,13.5706
2015-09-11,13.6474
2015-09-10,13.8453
2015-09-09,13.6312
2015-09-08,13.8877
2015-09-07,13.8937
2015-09-04,13.6398
2015-09-03,13.4910
2015-09-02,13.4807
2015-09-01,13.2975
2015-08-31,13.3406
2015-08-28,13.1934
2015-08-27,13.0257
2015-08-26,13.1407
2015-08-25,13.0908
2015-08-24,13.2126
2015-08-21,12.9010
2015-08-20,12.9727
2015-08-19,12.8751
2015-08-18,12.9166
2015-08-17,12.8763
2015-08-14,12.8471
2015-08-13,12.7850
2015-08-12,12.8195
2015-08-11,12.7000
2015-08-07,12.7182
2015-08-06,12.7576
2015-08-05,12.7472
2015-08-04,12.6402
2015-08-03,12.7316
2015-07-31,12.7397
2015-07-30,12.6221
2015-07-29,12.5755
2015-07-28,12.6170
2015-07-27,12.5929
2015-07-24,12.5028
2015-07-23,12.4149
2015-07-22,12.3565
2015-07-21,12.4077
2015-07-20,12.4343
2015-07-17,12.3395
2015-07-16,12.4108
2015-07-15,12.3746
2015-07-14,12.4405
2015-07-13,12.4565
2015-07-10,12.4056
2015-07-09,12.4846
2015-07-08,12.5421
2015-07-07,12.4945
2015-07-06,12.4056
2015-07-03,12.2956
2015-07-02,12.3136
2015-07-01,12.1849
2015-06-30,12.2406
2015-06-29,12.2578
2015-06-26,12.1186
2015-06-25,12.1146
2015-06-24,12.1504
2015-06-23,12.1566
2015-06-22,12.1688
2015-06-19,12.2726
2015-06-18,12.1726
2015-06-17,12.4413
2015-06-15,12.4058
2015-06-12,12.4277
2015-06-11,12.4132
